wallet,total_tx,avg_age,total_balance,chains_used,tier
0x6033206252df39f0415058a5b58eee03c6d52a6f,356,484.2,0.0404,4,Tier 3
0xeae2a97a0ae9c97d44630c44c6b75f4f61505b1f,172,76.8,0.0316,4,Tier 3
0x254e5c19bbd29f68e2682e1756c318f64b98b79f,109,71.8,0.5814,4,Tier 3
0x5d5e23c75d72d57f7c5834cc3a50283cac93975c,48,44.8,0,3,Tier 3
0xfcb92f82d97a8733be18018e1bff1635a3361b1b,44,67.4,0.0603,4,Tier 3
0x36c18d6f751d5d5fa71bbc941de995e7c24aa3ec,2,0.4,0.0009,1,Tier 3
0x0940e6082264b584c5dbedbd07164b45af62b6a5,40,122.4,0,4,Tier 3
0xb3b2f5cf167796a142e1c3abcdeda7d0b414ee53,171,37,0.0024,4,Tier 3
0xfc10f63e6af43dd79eb01a4b856a7d1cd6139f8f,289,72.6,0.0006,4,Tier 3
0x1a9f927ebe5df13c659fe556788c4ef618a45354,134,52,0.0332,4,Tier 3
0x3c9280303d4a0c2201f41990ebbbd8776188093c,249,13.2,0.6093,4,Tier 3
0x9b6d9d75854b9702b1b5408f56e12fc18eab8898,322,488.4,3.5633,4,Tier 2
0xa184b1d0b6737db875efc40e2037290c628d2037,19,208.2,0,4,Tier 3
0xc9bc1349400b60f34909d96b68c2e89e4039d13b,137,32.8,0.7398,4,Tier 3
0x20d9e7f5fd86fbcc77834d259e660455a3f6c90a,104,13.8,0.3113,4,Tier 3
0xa74c9a06b1ef6e71a3e01635d07bc41d156ca560,46,65.8,0.0431,4,Tier 3
0x025aba692fbf72bffa556112879ecef207334a25,168,34.8,0.0001,3,Tier 3
0x20d8999c8941a2573407ac7e1aa14b26ba1514cb,1,42.6,0,1,Tier 3
0x9cf1ad236b86d5fc1d63580c30982b70af38b207,314,245.2,0,4,Tier 3
0xd920af54662e86f329da602873fd0dfe6d86982a,400,554.6,0.1863,4,Tier 3
0x4854f7ade2d2ad41f173fc2eeb6f68254ee8c0d3,108,25.4,0,2,Tier 3
0xf1c3ec8924bc4b6dfb6266b85da758a4a12800d7,132,46.8,0.0053,4,Tier 3
0xcd590def2a547fdec177c01b23310cc7d61d251d,6,0.4,0.0001,3,Tier 3
0x94aacecea1a1821bbd0c82b04cd849affd4bab6a,165,89,0.1249,4,Tier 3
0x88b46ee595bdedb67fbb9ee9b2fb9939e8ee0802,240,653.4,0,4,Tier 3
0xc65d6397a4071046cc2aae48ee8d4066baa63c1d,95,115.6,0.0629,3,Tier 3
0xeeb7c5bb70adedfb0ef74ae3c2c64189a67e67ac,13,78.4,0.0009,2,Tier 3
0x416ff96b12ff9f321b9edff4cb6a348739514eb4,27,69.4,0,4,Tier 3
0x83bed2a90aaa147bf087213c321ea5f3c05a23eb,18,61.2,0,3,Tier 3
0x4c86916a1c55ee1daee49bfd4f3fb2b05291d817,20,36.4,0.0001,4,Tier 3
0x008fffd7749de9988022c87c6b925d22ec7dcce9,276,82.4,0.0181,4,Tier 3
0xe33be990cf37ff85da565d7926a6085f92b475c7,67,31.2,0.1805,4,Tier 3
0x68c9de547689e64fd02f45d6e9a8bde5f919ac1d,74,67.8,0.0996,4,Tier 3
0x641760b347e2bb96087f75dbe15269bd5af64570,1,21.6,0,1,Tier 3
0xddeab47f6d625abb01fbef5db3dac7a30aad4df4,320,219.6,0.1837,4,Tier 3
0x7bfe91d6eebc719425df59a79bdf27b0d89015ba,200,57,0.0792,4,Tier 3
0xf891f339755a7e7a69e6e0466428907181fb0b58,76,65.2,0,4,Tier 3
0xfd7170aa92d8a56ce37d6e71f3ae8604495e1fcb,45,48.6,0.0144,4,Tier 3
0x7214e4fe5a2810e6ed962ff7824f90bf20d0a62a,150,17,0.0291,4,Tier 3
0xd78253f0d0f85d721f21d300d371330dfcfb9891,180,76,0.1636,4,Tier 3
0xa9897d35c40b0340bc089b4dcfba493e6800c55c,135,205,0,4,Tier 3
0xcf19bafccbf27369ceea7ff0f60c891dec1a0830,167,82.2,0.2116,4,Tier 3
0xcf2bae572ab09367d076bc6c14fdea4a9ef99c91,0,0,0,0,Tier 3
0x29d6c1d2470119ecbc6af9d7f6785c9172e4c892,11,116,0,4,Tier 3
0x58f6e5e38c1197d8bceb528885ca249ab4297a3f,248,209.2,0.4495,4,Tier 3
0x70270cff18c35c9bc99d2c77aafe914931810e08,285,150.2,0.0005,4,Tier 3
0x90461c1ad018bc12a87127033f4c69e916a7c185,80,6.8,0.2819,4,Tier 3
0x7f79c0b3bcbe6d4312a9a7effd747e5e5d6233c2,268,207.6,0.0257,4,Tier 3
0x8cca518977acc01ff6eeabdc8481514b5c6345a6,103,86.8,0.0158,4,Tier 3
